구,TOPSIS_Score
영등포구,0.6524136111001897
은평구,0.6321996762672798
동대문구,0.6199992277160936
송파구,0.6063380179314163
도봉구,0.603682609754439
구로구,0.5561003087565324
중랑구,0.5452756886856952
성동구,0.490618685806656
관악구,0.48978154742407154
강동구,0.4822547829334914
중구,0.45899407316206653
동작구,0.4521999334776643
노원구,0.43801830115608537
양천구,0.4356169483210584
강북구,0.43292743903854153
서대문구,0.4190019867302785
성북구,0.39898456581663616
강남구,0.39363268665005025
강서구,0.3903266610880895
마포구,0.3509284415473598
용산구,0.34691379794593513
광진구,0.3172363512861909
종로구,0.3105355213865203
금천구,0.24640503912242911
서초구,0.1277503842407723
