구,주간인구밀도(수/km²)
강남구,26563.720459159184
강동구,20304.176197641318
강북구,10371.90889289889
강서구,12973.205371323987
관악구,14428.403109628818
광진구,20400.64152019243
구로구,20054.799750634123
금천구,18731.738559245725
노원구,12109.425751829223
도봉구,11466.423802788679
동대문구,24057.71463431786
동작구,20997.17212358958
마포구,20421.372340056383
서대문구,21926.74448667045
서초구,14752.523832747242
성동구,21528.075178958563
성북구,15779.068790226376
송파구,22428.105155925576
양천구,19635.811052506488
영등포구,23528.513834538942
용산구,14652.879880642671
은평구,12769.525430541207
종로구,15369.845397395402
중구,41108.98554736186
중랑구,16462.87976328052
