구,기온(°C),체감온도
강남구,31.69708333333333,31.804365339967035
강동구,30.61958333333333,30.81181285952187
강북구,30.304166666666667,30.66389771225596
강서구,31.29625,31.82807214549057
관악구,29.54875,30.15350987375606
광진구,31.717916666666667,31.873911311120786
구로구,31.31875,31.775493394975545
금천구,31.359583333333333,31.501323749938805
노원구,31.355,31.665315003862947
도봉구,29.89583333333333,30.87967102946299
동대문구,31.257916666666667,31.44269532174342
동작구,30.845416666666665,30.860705679760827
마포구,29.670416666666664,30.44564523455967
서대문구,29.36625,30.73730095093252
서초구,31.05208333333333,31.36967359844881
성동구,30.855,31.06176557505435
성북구,30.22625,30.52022738861905
송파구,31.3375,31.548937721527604
양천구,30.8875,31.10460141289928
영등포구,31.56083333333333,31.6722671919212
용산구,31.5,31.54814780995368
은평구,30.382916666666667,30.623613713453988
종로구,29.9078125,30.586745239165623
중구,29.65583333333333,30.465838903656927
중랑구,31.095416666666665,31.02589914823045
